Area,0,,1,,2,,3,,4,
Memorial Pillar,HORSEA,15-25,QWILFISH,15-25,GYARADOS,15-25,SEADRA,25-35,PSYDUCK,25-35
One Island,HORSEA,15-25,SHELLDER,15-25,GYARADOS,15-25,SEADRA,25-35,PSYDUCK,25-35
Outcast Island,HORSEA,15-25,QWILFISH,15-25,GYARADOS,15-25,SEADRA,25-35,PSYDUCK,25-35
Pallet Town,HORSEA,15-25,SHELLDER,15-25,GYARADOS,15-25,SEADRA,25-35,PSYDUCK,25-35
Resort Gorgeous,HORSEA,15-25,QWILFISH,15-25,GYARADOS,15-25,SEADRA,25-35,PSYDUCK,25-35
Route 10,HORSEA,15-25,HORSEA,15-25,GYARADOS,15-25,HORSEA,25-35,PSYDUCK,25-35
Route 11,HORSEA,15-25,HORSEA,15-25,GYARADOS,15-25,HORSEA,25-35,PSYDUCK,25-35
Route 12,HORSEA,15-25,HORSEA,15-25,GYARADOS,15-25,HORSEA,25-35,PSYDUCK,25-35
Route 13,HORSEA,15-25,HORSEA,15-25,GYARADOS,15-25,HORSEA,25-35,PSYDUCK,25-35
Route 19,HORSEA,15-25,HORSEA,15-25,GYARADOS,15-25,SEADRA,25-35,PSYDUCK,25-35
Route 20,HORSEA,15-25,HORSEA,15-25,GYARADOS,15-25,SEADRA,25-35,PSYDUCK,25-35
Route 21,HORSEA,15-25,HORSEA,15-25,GYARADOS,15-25,SEADRA,25-35,PSYDUCK,25-35
Route 22,POLIWAG,15-25,POLIWHIRL,20-30,GYARADOS,15-25,PSYDUCK,15-25,PSYDUCK,25-35
Route 23,POLIWAG,15-25,POLIWHIRL,20-30,GYARADOS,15-25,PSYDUCK,15-25,PSYDUCK,25-35
Route 24,HORSEA,15-25,HORSEA,15-25,GYARADOS,15-25,HORSEA,25-35,PSYDUCK,25-35
Route 25,POLIWAG,15-25,POLIWHIRL,20-30,GYARADOS,15-25,PSYDUCK,15-25,PSYDUCK,25-35
Route 4,HORSEA,15-25,HORSEA,15-25,GYARADOS,15-25,HORSEA,25-35,PSYDUCK,25-35
Route 6,POLIWAG,15-25,POLIWHIRL,20-30,GYARADOS,15-25,PSYDUCK,15-25,PSYDUCK,25-35
Ruin Valley,POLIWAG,15-25,POLIWHIRL,20-30,GYARADOS,15-25,PSYDUCK,15-25,PSYDUCK,25-35
S.S. Anne,HORSEA,15-25,SHELLDER,15-25,GYARADOS,15-25,HORSEA,25-35,PSYDUCK,25-35
Safari Zone Area 1 - East,GOLDEEN,15-25,SEAKING,20-30,DRATINI,15-25,PSYDUCK,15-35,DRAGONAIR,25-35
Safari Zone Area 2 - North,GOLDEEN,15-25,SEAKING,20-30,DRATINI,15-25,PSYDUCK,15-35,DRAGONAIR,25-35
Safari Zone Area 3 - West,GOLDEEN,15-25,SEAKING,20-30,DRATINI,15-25,PSYDUCK,15-35,DRAGONAIR,25-35
Safari Zone Entrance,GOLDEEN,15-25,SEAKING,20-30,DRATINI,15-25,PSYDUCK,15-35,DRAGONAIR,25-35
Seafoam Islands B3F,HORSEA,15-25,HORSEA,20-30,GYARADOS,15-25,PSYDUCK,15-25,GYARADOS,25-35
Seafoam Islands B4F,HORSEA,15-25,HORSEA,20-30,GYARADOS,15-25,PSYDUCK,15-25,GYARADOS,25-35
Tanoby Ruins,HORSEA,15-25,QWILFISH,15-25,GYARADOS,15-25,SEADRA,25-35,PSYDUCK,25-35
Trainer Tower,HORSEA,15-25,QWILFISH,15-25,GYARADOS,15-25,SEADRA,25-35,PSYDUCK,25-35
Treasure Beach,HORSEA,15-25,HORSEA,15-25,GYARADOS,15-25,SEADRA,25-35,PSYDUCK,25-35
Vermilion City,HORSEA,15-25,SHELLDER,15-25,GYARADOS,15-25,HORSEA,25-35,PSYDUCK,25-35
Viridian City,POLIWAG,15-25,POLIWHIRL,20-30,GYARADOS,15-25,PSYDUCK,15-25,PSYDUCK,25-35
Water Labyrinth,HORSEA,15-25,QWILFISH,15-25,GYARADOS,15-25,SEADRA,25-35,PSYDUCK,25-35
Water Path,HORSEA,15-25,QWILFISH,15-25,GYARADOS,15-25,SEADRA,25-35,PSYDUCK,25-35
